x,plus,minus,midpt
0.5795182423267452,-1 1,11 1,11
0.032254652014415075,-1 1,12 1,11.5
0.002206130949955208,-1 1,13 1,12
1,-1 1,14 1,12.5
2.1360428469353193e-4,-1 1,-5 3,13
0.006785700139224546,-1 1,-4 3,13.5
0.02682596003699385,-1 1,-3 3,14
0.0018657146525549208,-1 1,-2 3,14.5
1,-1 1,-1 3,15
1.5610408243713585e-4,-1 1,0 3,15.5
0.37764817611152307,-1 1,1 3,16
0.34572143899788066,-1 1,2 3,16.5
0.8128461657788901,-1 1,3 3,17
0.6606945178564244,-1 1,4 3,17.5
0.595548533956189,-1 1,5 3,18
0.5207207838201201,-1 1,6 3,18.5
4.96395906409425e-4,-1 1,7 3,19
2.6590596507164845e-4,-1 1,8 3,19.5
0.5967718441540909,-1 1,9 3,20
0.5447633768723315,-1 1,10 3,20.5
2.965070239233828e-4,-1 1,11 3,21
0.005041343796334464,-1 1,12 3,21.5
2.156583591686519e-4,-1 1,13 3,22
0.03787217644638621,-1 1,14 3,22.5
1,0 1,1 1,6.5
0.993899620877329,0 1,2 1,7
1,0 1,3 1,7.5
1,0 1,4 1,8
0.8451630373693804,0 1,5 1,8.5
1,0 1,6 1,9
0.3260454819657586,0 1,7 1,9.5
1,0 1,8 1,10
1,0 1,9 1,10.5
0.5771447926688205,0 1,10 1,11
1,0 1,11 1,11.5
2.2606018658460333e-4,0 1,12 1,12
0.45744790599369106,0 1,13 1,12.5
1,0 1,14 1,13
0.019867284682173393,0 1,-5 3,13.5
0.49241716282714826,0 1,-4 3,14
0.5822259310655724,0 1,-3 3,14.5
0.41650429883927076,0 1,-2 3,15
1,0 1,-1 3,15.5
0.12599418612115967,0 1,0 3,16
0.7172115924919772,0 1,1 3,16.5
0.6813467320383642,0 1,2 3,17
1,0 1,3 3,17.5
1,0 1,4 3,18
1,0 1,5 3,18.5
0.882378583828303,0 1,6 3,19
0.34714318349172285,0 1,7 3,19.5
0.0036523179373863157,0 1,8 3,20
1,0 1,9 3,20.5
0.928825397598999,0 1,10 3,21
9.77497176120787e-4,0 1,11 3,21.5
0.47316613862569645,0 1,12 3,22
0.020124497109250312,0 1,13 3,22.5
0.5870552893154316,0 1,14 3,23
1,1 1,2 1,7.5
1,1 1,3 1,8
1,1 1,4 1,8.5
0.8733717379094436,1 1,5 1,9
1,1 1,6 1,9.5
0.2549157735294049,1 1,7 1,10
1,1 1,8 1,10.5
0.995941179999022,1 1,9 1,11
0.5524760057982588,1 1,10 1,11.5
0.9979869326665834,1 1,11 1,12
1.975057693114764e-4,1 1,12 1,12.5
0.43037885548735,1 1,13 1,13
1,1 1,14 1,13.5
0.015947575109545736,1 1,-5 3,14
0.4741380643877117,1 1,-4 3,14.5
0.5640180538628605,1 1,-3 3,15
0.39508245819306737,1 1,-2 3,15.5
1,1 1,-1 3,16
0.07636933509169061,1 1,0 3,16.5
0.6997667799688558,1 1,1 3,17
0.6620516437585282,1 1,2 3,17.5
1,1 1,3 3,18
1,1 1,4 3,18.5
0.9737127921993289,1 1,5 3,19
0.8556329187419494,1 1,6 3,19.5
0.3304700233308854,1 1,7 3,20
0.0026054239610807705,1 1,8 3,20.5
0.9757128857611623,1 1,9 3,21
0.9025219500289019,1 1,10 3,21.5
6.950988181422475e-4,1 1,11 3,22
0.45370857161732714,1 1,12 3,22.5
0.016258274013401557,1 1,13 3,23
0.572427015332672,1 1,14 3,23.5
1,2 1,3 1,8.5
1,2 1,4 1,9
1,2 1,5 1,9.5
1,2 1,6 1,10
0.002355001164856117,2 1,7 1,10.5
0.9137023937245398,2 1,8 1,11
0.6855540045486205,2 1,9 1,11.5
0.3253771281099669,2 1,10 1,12
0.6940466489080498,2 1,11 1,12.5
0.004767385761394241,2 1,12 1,13
0.016363179692518867,2 1,13 1,13.5
1,2 1,14 1,14
1.0389069242350015e-4,2 1,-5 3,14.5
0.0471458070682311,2 1,-4 3,15
0.34785624678091676,2 1,-3 3,15.5
0.01337401833705084,2 1,-2 3,16
1,2 1,-1 3,16.5
0.0013412884995874998,2 1,0 3,17
0.5060142814824501,2 1,1 3,17.5
0.4751119865725685,2 1,2 3,18
0.9777170876948751,2 1,3 3,18.5
0.7769672853383828,2 1,4 3,19
0.7012041638079233,2 1,5 3,19.5
0.6232997904538881,2 1,6 3,20
0.0049933266656641065,2 1,7 3,20.5
2.17732186159296e-4,2 1,8 3,21
0.7026445001625412,2 1,9 3,21.5
0.643302973938222,2 1,10 3,22
2.4474870083002507e-4,2 1,11 3,22.5
0.02590098009491102,2 1,12 3,23
1.1183152314297511e-4,2 1,13 3,23.5
0.3569466407539375,2 1,14 3,24
1,3 1,4 1,9.5
0.8751657219302701,3 1,5 1,10
1,3 1,6 1,10.5
0.2686923625808415,3 1,7 1,11
1,3 1,8 1,11.5
1,3 1,9 1,12
0.5581735410425317,3 1,10 1,12.5
1,3 1,11 1,13
1.9940503626678915e-4,3 1,12 1,13.5
0.43126289232542514,3 1,13 1,14
1,3 1,14 1,14.5
0.01605047601992295,3 1,-5 3,15
0.47608790928109845,3 1,-4 3,15.5
0.5663375211334802,3 1,-3 3,16
