x,plus,minus,midpt
1,9 1,9 3,25
0.797972412,10 1,11 1,16.5
3.58E-04,10 1,12 1,17
1,10 1,13 1,17.5
0.429496631,10 1,14 1,18
0.938404122,10 1,10 3,26
3.19E-04,11 1,12 1,17.5
0.655293777,11 1,13 1,18
0.788208089,11 1,14 1,18.5
0.046325865,11 1,11 3,27
3.71E-04,12 1,13 1,18.5
6.21E-04,12 1,14 1,19
3.75E-04,12 1,12 3,28
0.21251396,13 1,14 1,19.5
0.942263214,13 1,13 3,29
0.466649007,14 1,14 3,30
0.921232864,-5 3,-4 3,21.5
0.758069029,-5 3,-3 3,22
1,-5 3,-2 3,22.5
5.74E-04,-5 3,-1 3,23
1,-5 3,0 3,23.5
0.615672834,-5 3,1 3,24
0.645948492,-5 3,2 3,24.5
0.011203108,-5 3,3 3,25
0.250482375,-5 3,4 3,25.5
0.396707195,-5 3,5 3,26
0.496347729,-5 3,6 3,26.5
1,-5 3,7 3,27
1,-5 3,8 3,27.5
0.397522067,-5 3,9 3,28
0.46007313,-5 3,10 3,28.5
1,-5 3,11 3,29
0.953935973,-5 3,12 3,29.5
1,-5 3,13 3,30
0.74879298,-5 3,14 3,30.5
1,-4 3,-3 3,22.5
1,-4 3,-2 3,23
0.162324005,-4 3,-1 3,23.5
1,-4 3,0 3,24
0.955895443,-4 3,1 3,24.5
1,-4 3,2 3,25
0.461965134,-4 3,3 3,25.5
0.589469495,-4 3,4 3,26
0.670253141,-4 3,5 3,26.5
0.739630437,-4 3,6 3,27
1,-4 3,7 3,27.5
0.741149704,-4 3,8 3,28
0.671629901,-4 3,9 3,28.5
0.721640328,-4 3,10 3,29
0.686962194,-4 3,11 3,29.5
1,-4 3,12 3,30
0.923125159,-4 3,13 3,30.5
1,-4 3,14 3,31
1,-3 3,-2 3,23.5
0.401621604,-3 3,-1 3,24
0.876963391,-3 3,0 3,24.5
1,-3 3,1 3,25
1,-3 3,2 3,25.5
0.553610841,-3 3,3 3,26
0.695472283,-3 3,4 3,26.5
0.762750057,-3 3,5 3,27
0.896983137,-3 3,6 3,27.5
1,-3 3,7 3,28
0.647275329,-3 3,8 3,28.5
0.764316814,-3 3,9 3,29
0.846899078,-3 3,10 3,29.5
0.588261154,-3 3,11 3,30
1,-3 3,12 3,30.5
0.765886789,-3 3,13 3,31
1,-3 3,14 3,31.5
0.021177984,-2 3,-1 3,24.5
1,-2 3,0 3,25
0.848638685,-2 3,1 3,25.5
0.89882562,-2 3,2 3,26
0.376082614,-2 3,3 3,26.5
0.528065326,-2 3,4 3,27
0.603709072,-2 3,5 3,27.5
0.688373276,-2 3,6 3,28
1,-2 3,7 3,28.5
0.850381865,-2 3,8 3,29
0.602471541,-2 3,9 3,29.5
0.64860489,-2 3,10 3,30
0.742672092,-2 3,11 3,30.5
1,-2 3,12 3,31
1,-2 3,13 3,31.5
1,-2 3,14 3,32
0.002377647,-1 3,0 3,25.5
0.554748008,-1 3,1 3,26
0.529150019,-1 3,2 3,26.5
1,-1 3,3 3,27
0.900671889,-1 3,4 3,27.5
0.767459989,-1 3,5 3,28
0.689787257,-1 3,6 3,28.5
0.009016403,-1 3,7 3,29
2.01E-04,-1 3,8 3,29.5
0.769036421,-1 3,9 3,30
0.723122642,-1 3,10 3,30.5
2.39E-04,-1 3,11 3,31
0.098085903,-1 3,12 3,31.5
5.79E-04,-1 3,13 3,32
0.411866266,-1 3,14 3,32.5
0.691204142,0 3,1 3,26.5
0.724608001,0 3,2 3,27
0.033406535,0 3,3 3,27.5
0.376855122,0 3,4 3,28
0.482460327,0 3,5 3,28.5
0.55588751,0 3,6 3,29
1,0 3,7 3,29.5
1,0 3,8 3,30
0.483451344,0 3,9 3,30.5
0.526982855,0 3,10 3,31
0.957858938,0 3,11 3,31.5
1,0 3,12 3,32
1,0 3,13 3,32.5
0.86801182,0 3,14 3,33
1,1 3,2 3,27.5
0.708435492,1 3,3 3,28
0.878764753,1 3,4 3,28.5
1,1 3,5 3,29
1,1 3,6 3,29.5
0.744197607,1 3,7 3,30
0.512387849,1 3,8 3,30.5
1,1 3,9 3,31
1,1 3,10 3,31.5
0.44126627,1 3,11 3,32
0.925021341,1 3,12 3,32.5
0.618204727,1 3,13 3,33
1,1 3,14 3,33.5
0.673009489,2 3,3 3,28.5
0.827997158,2 3,4 3,29
0.959826466,2 3,5 3,29.5
1,2 3,6 3,30
0.799611519,2 3,7 3,30.5
0.539994025,2 3,8 3,31
0.961798036,2 3,9 3,31.5
1,2 3,10 3,32
0.480484384,2 3,11 3,32.5
1,2 3,12 3,33
0.652609984,2 3,13 3,33.5
1,2 3,14 3,34
1,3 3,4 3,29.5
1,3 3,5 3,30
0.880569814,3 3,6 3,30.5
0.259427641,3 3,7 3,31
0.001177174,3 3,8 3,31.5
1,3 3,9 3,32
0.926921418,3 3,10 3,32.5
1.22E-04,3 3,11 3,33
0.44217267,3 3,12 3,33.5
0.011275395,3 3,13 3,34
0.570690596,3 3,14 3,34.5
1,4 3,5 3,30.5
1,4 3,6 3,31
0.462914052,4 3,7 3,31.5
0.013761241,4 3,8 3,32
1,4 3,9 3,32.5
1,4 3,10 3,33
0.00481323,4 3,11 3,33.5
0.575961716,4 3,12 3,34
0.264019366,4 3,13 3,34.5
0.696900846,4 3,14 3,35
1,5 3,6 3,31.5
0.541103221,5 3,7 3,32
0.101588762,5 3,8 3,32.5
1,5 3,9 3,33
1,5 3,10 3,33.5
0.016981602,5 3,11 3,34
0.649937183,5 3,12 3,34.5
0.402446571,5 3,13 3,35
0.781765009,5 3,14 3,35.5
0.619474575,6 3,7 3,32.5
0.360665505,6 3,8 3,33
1,6 3,9 3,33.5
1,6 3,10 3,34
0.159500927,6 3,11 3,34.5
0.73058001,6 3,12 3,35
0.497367272,6 3,13 3,35.5
0.90623348,6 3,14 3,36
0.963773656,7 3,8 3,33.5
0.538887103,7 3,9 3,34
